Store_name,Start_date,End_date,Camera,Count,inout,name_video
san diego,2020-10-02 17:54:48,2020-10-02 17:57:37,4,0,In,Hermeco Oficinas_10.50.60.47_4_20201002175448_20201002175737_1602271620459.mp4
san diego,2020-10-02 17:54:48,2020-10-02 17:57:37,4,0,Out,Hermeco Oficinas_10.50.60.47_4_20201002175448_20201002175737_1602271620459.mp4
